ProductID,Brand,ProductName,Category,SkinType,Concern,KeyIngredients,Description,PriceRange,ProductLink
12,The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,Combination,Dark Spots,"Glycolic Acid, Salicylic Acid","An exfoliating solution that resurfaces the skin for a brighter, smoother look. Helps reduce blemishes and hyperpigmentation.",Affordable,https://www.theordinary.com
13,CeraVe,Resurfacing Retinol Serum,Serum,Oily,Acne,"Encapsulated Retinol, Niacinamide","Targets acne marks, refines pores, and improves skin texture. Suitable for sensitive skin due to its gentle formulation.",Affordable,https://www.cerave.com
14,La Roche-Posay,Hyalu B5 Serum,Serum,Normal,Wrinkles,"Hyaluronic Acid, Vitamin B5","A deeply hydrating anti-aging serum that plumps skin and smooths fine lines. Great for dull, tired, and aging skin.",Medium,https://www.laroche-posay.com
15,Neutrogena,Oil-Free Acne Wash,Cleanser,Oily,Acne,"Salicylic Acid, Aloe Vera",A foaming cleanser that fights breakouts and clears pores. Reduces redness and prevents new pimples from forming.,Affordable,https://www.neutrogena.com
16,The Inkey List,Hyaluronic Acid Serum,Serum,All,Dryness,"Hyaluronic Acid, Matrixyl 3000",Hydrates the skin deeply and enhances elasticity. Lightweight and ideal for layering with other serums.,Affordable,https://www.theinkeylist.com
17,Paula’s Choice,Omega+ Complex Moisturizer,Moisturizer,Dry,Sensitivity,"Omega Fatty Acids, Ceramides",A rich cream that restores the skin barrier and reduces sensitivity. Provides lasting comfort for dry or damaged skin.,Medium,https://www.paulaschoice.com
18,The Ordinary,Caffeine Solution 5% + EGCG,Eye Care,All,Dark Circles,"Caffeine, Green Tea Extract",Reduces puffiness and dark circles around the eyes. Lightweight and soothing formula for daily use.,Affordable,https://www.theordinary.com
19,CeraVe,Renewing SA Cleanser,Cleanser,Combination,Blackheads,"Salicylic Acid, Niacinamide",A gentle exfoliating cleanser that removes dead cells and unclogs pores. Smooths rough skin without irritation.,Affordable,https://www.cerave.com
20,La Roche-Posay,Toleriane Sensitive Fluide,Moisturizer,Sensitive,Sensitivity,"Prebiotic Thermal Water, Ceramides",A minimalist moisturizer that hydrates and calms sensitive skin. Free from fragrance and alcohol.,Medium,https://www.laroche-posay.com
21,The Inkey List,Vitamin C Serum,Serum,Normal,Dark Spots,"Vitamin C, Hyaluronic Acid",Brightens skin tone and fades pigmentation. Boosts collagen and improves radiance over time.,Affordable,https://www.theinkeylist.com
22,Neutrogena,Rapid Wrinkle Repair Retinol Oil,Treatment,Normal,Wrinkles,"Retinol SA, Hyaluronic Acid",Visibly reduces fine lines and improves skin texture overnight. Lightweight oil absorbs quickly.,Medium,https://www.neutrogena.com
23,Bioderma,Hydrabio Serum,Serum,Dry,Dullness,"Niacinamide, Glycerin",A hydrating serum that replenishes water content and adds radiance. Great for dehydrated or tired skin.,Medium,https://www.bioderma.com
24,The Ordinary,Lactic Acid 10% + HA,Treatment,All,Texture,"Lactic Acid, Hyaluronic Acid",Gently exfoliates and smooths skin surface. Improves texture and boosts glow with regular use.,Affordable,https://www.theordinary.com
25,CeraVe,Eye Repair Cream,Eye Care,All,Dark Circles,"Ceramides, Hyaluronic Acid",Brightens under-eye area and restores moisture barrier. Reduces puffiness and fatigue.,Affordable,https://www.cerave.com
26,The Inkey List,Q10 Serum,Serum,Normal,Wrinkles,"Coenzyme Q10, Syn-Tacks Peptide",Protects skin from free radicals and improves elasticity. Ideal for early anti-aging routines.,Affordable,https://www.theinkeylist.com
27,La Roche-Posay,Pure Vitamin C10 Serum,Serum,Normal,Dark Spots,"Vitamin C, Salicylic Acid","Smooths fine lines, brightens complexion, and refines skin texture. Suitable for sensitive skin types.",Medium,https://www.laroche-posay.com
28,Paula’s Choice,Defense Essential Glow Moisturizer SPF 30,Moisturizer,All,Dullness,"Vitamin C, Resveratrol","Hydrates, protects, and adds glow with antioxidants and SPF. Great for city life and daily use.",Medium,https://www.paulaschoice.com
29,Neutrogena,Bright Boost Resurfacing Micro Polish,Exfoliator,All,Texture,"Glycolic Acid, Mandelic Acid",A gentle micro-exfoliant that renews skin surface and improves radiance. Ideal for dull skin.,Affordable,https://www.neutrogena.com
30,Bioderma,Atoderm Intensive Baume,Moisturizer,Dry,Sensitivity,"Niacinamide, Shea Butter",Deeply nourishes and repairs the skin barrier. Reduces itching and discomfort for very dry skin.,Medium,https://www.bioderma.com
31,The Ordinary,Alpha Arbutin 2% + HA,Serum,All,Dark Spots,"Alpha Arbutin, Hyaluronic Acid",Targets hyperpigmentation and dark spots. Evens out skin tone and brightens dull complexions.,Affordable,https://www.theordinary.com
32,CeraVe,SA Lotion for Rough & Bumpy Skin,Body Care,Dry,Texture,"Salicylic Acid, Lactic Acid",Smooths rough patches and restores moisture barrier. Gentle enough for daily use.,Affordable,https://www.cerave.com
33,The Inkey List,Tranexamic Acid Serum,Serum,All,Dark Spots,"Tranexamic Acid, Acai Berry Extract","Reduces pigmentation, melasma, and dark spots. Improves overall skin clarity and tone.",Affordable,https://www.theinkeylist.com
34,La Roche-Posay,Lipikar Balm AP+M,Moisturizer,Sensitive,Sensitivity,"Shea Butter, Niacinamide","Restores the skin barrier and provides 48-hour hydration. Suitable for very dry, eczema-prone skin.",Medium,https://www.laroche-posay.com
35,Paula’s Choice,10% Azelaic Acid Booster,Treatment,Combination,Acne,"Azelaic Acid, Salicylic Acid","Fights breakouts, fades dark marks, and smooths skin texture. Non-irritating formula for all skin types.",Medium,https://www.paulaschoice.com
36,Neutrogena,Deep Clean Cream Cleanser,Cleanser,Combination,Blackheads,"Salicylic Acid, Kaolin",Removes impurities and unclogs pores while keeping skin soft. Suitable for daily cleansing.,Affordable,https://www.neutrogena.com
37,CeraVe,Foaming Facial Cleanser,Cleanser,Oily,Pores,"Ceramides, Niacinamide",Gently cleanses oily skin without over-drying. Helps control excess sebum and minimize pores.,Affordable,https://www.cerave.com
38,The Ordinary,Argireline Solution 10%,Serum,Normal,Wrinkles,Acetyl Hexapeptide-8,A peptide serum that targets dynamic facial lines. Softens fine wrinkles around eyes and forehead.,Affordable,https://www.theordinary.com
39,La Roche-Posay,Cicaplast Baume B5,Balm,All,Sensitivity,"Panthenol, Madecassoside","Soothes, repairs, and protects irritated or damaged skin. Multi-purpose healing balm for daily use.",Medium,https://www.laroche-posay.com
40,Paula’s Choice,Calm Nourishing Cream Cleanser,Cleanser,Sensitive,Sensitivity,"Aloe, Chamomile Extract",A gentle creamy cleanser for sensitive or rosacea-prone skin. Cleanses without stripping moisture.,Medium,https://www.paulaschoice.com
41,Neutrogena,Stubborn Acne AM Treatment,Treatment,Oily,Acne,"Benzoyl Peroxide, Glycerin",A daytime acne treatment that kills acne bacteria and clears pores. Lightweight formula for oily skin.,Affordable,https://www.neutrogena.com
42,The Inkey List,Polyglutamic Acid Serum,Serum,All,Dryness,"Polyglutamic Acid, Glycerin",Locks in moisture four times better than hyaluronic acid. Smooths and plumps dehydrated skin.,Affordable,https://www.theinkeylist.com
43,CeraVe,Acne Foaming Cream Cleanser,Cleanser,Oily,Acne,"Benzoyl Peroxide, Niacinamide",A powerful acne-fighting cleanser that removes oil and treats breakouts without irritation.,Affordable,https://www.cerave.com
44,The Ordinary,Multi-Peptide + HA Serum,Serum,Normal,Wrinkles,"Matrixyl, Argireline",A multi-technology peptide serum that supports firmness and elasticity. Reduces visible aging signs.,Affordable,https://www.theordinary.com
45,Bioderma,Sébium Global,Treatment,Oily,Acne,"AHA esters, Zinc Gluconate",A complete care for acne-prone skin that clears pimples and regulates sebum. Restores clarity and balance.,Medium,https://www.bioderma.com
46,La Roche-Posay,Effaclar Duo+ Corrective Cream,Treatment,Combination,Acne,"Niacinamide, Procerad",Targets acne imperfections and prevents marks. Mattifies skin while providing hydration.,Medium,https://www.laroche-posay.com
47,The Inkey List,Bakuchiol Serum,Serum,Sensitive,Wrinkles,"Bakuchiol, Squalane",A plant-based retinol alternative that reduces fine lines without irritation. Ideal for sensitive skin.,Affordable,https://www.theinkeylist.com
48,Neutrogena,Clear & Defend Facial Wash,Cleanser,Combination,Blackheads,"Salicylic Acid, Glycerin",Helps prevent new spots while keeping skin soft and balanced. Gently exfoliates to clear pores.,Affordable,https://www.neutrogena.com
49,Paula’s Choice,Resist Intensive Repair Cream,Moisturizer,Dry,Wrinkles,"Retinol, Antioxidants",Deeply hydrates and smooths the look of wrinkles overnight. Strengthens barrier and improves firmness.,Medium,https://www.paulaschoice.com
50,CeraVe,Moisturizing Cream,Moisturizer,All,Dryness,"Ceramides, Hyaluronic Acid",Provides 24-hour hydration and restores protective barrier. Non-greasy and fragrance-free formula.,Affordable,https://www.cerave.com
51,The Ordinary,Glycolic Acid 7% Toning Solution,Toner,All,Texture,"Glycolic Acid, Aloe Vera",An exfoliating toner that improves texture and brightness. Helps to remove dead cells and reveal smoother skin.,Affordable,https://www.theordinary.com
52,La Roche-Posay,Effaclar Clarifying Solution,Toner,Oily,Pores,"Salicylic Acid, Glycolic Acid",A micro-exfoliating toner that helps minimize pores and refine texture. Great for oily or acne-prone skin.,Medium,https://www.laroche-posay.com
53,The Inkey List,Lactic Acid Serum,Serum,Combination,Texture,"Lactic Acid, Hyaluronic Acid",A mild exfoliating serum that removes dull surface cells and improves tone. Suitable for beginners to exfoliation.,Affordable,https://www.theinkeylist.com
54,Paula’s Choice,RESIST Pore-Refining Toner,Toner,Combination,Pores,"Niacinamide, Peptides",Reduces pore size and enhances skin firmness. Ideal for anti-aging and balancing oil.,Medium,https://www.paulaschoice.com
55,Neutrogena,Hydro Boost Night Pressed Serum,Moisturizer,Normal,Dryness,"Hyaluronic Acid, Antioxidants",A night gel-cream that recharges skin hydration overnight. Boosts moisture and elasticity.,Affordable,https://www.neutrogena.com
56,CeraVe,Hydrating Foaming Oil Cleanser,Cleanser,Dry,Dryness,"Squalane, Triglycerides","Cleanses without stripping natural oils. Leaves skin soft, hydrated, and nourished.",Affordable,https://www.cerave.com
57,Bioderma,Sébium Mat Control,Moisturizer,Oily,Pores,"Zinc Gluconate, Silica",Provides long-lasting matte finish while controlling shine. Tightens pores and refines texture.,Medium,https://www.bioderma.com
58,The Ordinary,Ascorbyl Glucoside Solution 12%,Serum,Normal,Dark Spots,"Vitamin C, Glucoside",Brightens dull skin and reduces dark spots. Gentle and water-based for sensitive users.,Affordable,https://www.theordinary.com
59,The Inkey List,Kojic Acid Serum,Serum,All,Dark Spots,"Kojic Acid, Niacinamide",Reduces pigmentation and evens skin tone. Helps lighten acne scars and sun spots.,Affordable,https://www.theinkeylist.com
60,La Roche-Posay,Redermic R Retinol Cream,Treatment,Normal,Wrinkles,"Retinol, Caffeine",A dermatologist-tested retinol cream that visibly reduces wrinkles. Improves skin tone and elasticity.,Medium,https://www.laroche-posay.com
61,Neutrogena,Deep Moisture Night Cream,Moisturizer,Dry,Dryness,"Glycerin, Vitamin E","Restores hydration overnight for supple, glowing skin. Soothes dryness and tightness.",Affordable,https://www.neutrogena.com
62,Paula’s Choice,10% Niacinamide Booster,Serum,All,Pores,"Niacinamide, Licorice Root Extract","Tightens pores, improves tone, and strengthens the skin barrier. Ideal for dull or uneven texture.",Medium,https://www.paulaschoice.com
63,CeraVe,Acne Control Gel,Treatment,Oily,Acne,"Salicylic Acid, Lactic Acid",Reduces acne breakouts and clears clogged pores. Gentle enough for daily nighttime use.,Affordable,https://www.cerave.com
64,The Ordinary,Azelaic Acid Suspension 10%,Treatment,All,Redness,Azelaic Acid,Brightens skin tone and reduces blemishes and redness. Lightweight cream-gel texture.,Affordable,https://www.theordinary.com
65,La Roche-Posay,Toleriane Ultra Night Cream,Moisturizer,Sensitive,Sensitivity,"Neurosensine, Shea Butter",Soothes irritation and restores the skin overnight. Formulated for highly sensitive skin.,Medium,https://www.laroche-posay.com
66,Bioderma,Hydrabio Gel-Crème,Moisturizer,Combination,Dullness,"Niacinamide, Apple Seed Extract",Rehydrates dehydrated skin and restores natural radiance. Refreshing gel texture.,Medium,https://www.bioderma.com
67,The Inkey List,Retinol Eye Cream,Eye Care,Normal,Wrinkles,"Retinol, Vitamin E",Targets fine lines and crow’s feet around the eyes. Nourishing yet lightweight.,Affordable,https://www.theinkeylist.com
68,Paula’s Choice,CLEAR Acne Spot Treatment,Treatment,Oily,Acne,"Benzoyl Peroxide, Allantoin",Quickly reduces active breakouts and calms inflammation. Works well under makeup.,Medium,https://www.paulaschoice.com
69,Neutrogena,Rapid Tone Repair Correcting Cream,Moisturizer,Normal,Dark Spots,"Retinol SA, Vitamin C","Brightens uneven tone and smooths fine lines. Lightweight, fast-absorbing texture.",Affordable,https://www.neutrogena.com
70,CeraVe,Ultra-Light Moisturizing Lotion SPF 30,Moisturizer,Combination,Dullness,"Ceramides, Niacinamide",Moisturizes while providing SPF protection. Keeps skin balanced and smooth.,Affordable,https://www.cerave.com
71,The Ordinary,Marine Hyaluronics,Serum,Dry,Dullness,"Marine Derivatives, Algae Extract",Lightweight hydration alternative to hyaluronic acid. Provides deep moisture with a watery finish.,Affordable,https://www.theordinary.com
72,La Roche-Posay,Effaclar Mat Moisturizer,Moisturizer,Oily,Pores,"Sebulyse Technology, Glycerin",Hydrating yet mattifying formula that reduces oil and shine. Minimizes visible pores.,Medium,https://www.laroche-posay.com
73,The Inkey List,PHA Toner,Toner,Sensitive,Texture,"Gluconolactone, Aloe Vera",A gentle toner that exfoliates dead skin and improves tone. Suitable for sensitive skin types.,Affordable,https://www.theinkeylist.com
74,Paula’s Choice,CLINICAL 1% Retinol Treatment,Treatment,Normal,Wrinkles,"Retinol, Peptides",An advanced anti-aging treatment that boosts collagen and smooths deep wrinkles.,High,https://www.paulaschoice.com
75,Neutrogena,Hydro Boost Eye Gel-Cream,Eye Care,All,Dryness,"Hyaluronic Acid, Glycerin","Hydrates the delicate under-eye area for a refreshed, plump look. Lightweight and fragrance-free.",Affordable,https://www.neutrogena.com
76,CeraVe,Healing Ointment,Balm,All,Sensitivity,"Petrolatum, Ceramides",Protects and soothes dry or cracked skin. Ideal for sensitive or irritated areas.,Affordable,https://www.cerave.com
77,The Ordinary,Buffet + Copper Peptides 1%,Serum,Normal,Wrinkles,"Peptides, Copper Peptides",Targets multiple signs of aging and supports overall skin health. Enhances elasticity and glow.,Medium,https://www.theordinary.com
78,La Roche-Posay,Effaclar Micellar Water Ultra,Cleanser,Oily,Acne,"Glycerin, Zinc PCA",Removes makeup and impurities without rinsing. Helps control oil and prevent breakouts.,Medium,https://www.laroche-posay.com
79,Bioderma,Sensibio H2O Micellar Water,Cleanser,Sensitive,Sensitivity,"Micelles, Cucumber Extract",Cleanses makeup and dirt gently while maintaining skin balance. Suitable for sensitive skin.,Medium,https://www.bioderma.com
80,The Inkey List,Collagen Booster Serum,Serum,Normal,Wrinkles,"Matrixyl 3000, Peptides",Improves elasticity and smoothness for youthful-looking skin. Great for early aging prevention.,Affordable,https://www.theinkeylist.com
81,Paula’s Choice,Calm Rescue & Repair Moisturizer,Moisturizer,Sensitive,Redness,"Licorice Root Extract, Allantoin",Soothes redness and irritation instantly. Strengthens sensitive skin barrier.,Medium,https://www.paulaschoice.com
82,Neutrogena,Oil-Free Moisture SPF 15,Moisturizer,Oily,Pores,"Dimethicone, Glycerin","Lightweight, non-comedogenic lotion for daily hydration. Keeps oily skin shine-free.",Affordable,https://www.neutrogena.com
83,CeraVe,Vitamin C Serum,Serum,All,Dark Spots,"Vitamin C, Ceramides",Brightens complexion and defends against free radicals. Evens tone with daily use.,Affordable,https://www.cerave.com
84,The Ordinary,100% Organic Rose Hip Seed Oil,Oil,All,Wrinkles,"Rosehip Oil, Essential Fatty Acids",Nourishes and hydrates dry or aging skin. Reduces fine lines and improves tone naturally.,Affordable,https://www.theordinary.com
85,La Roche-Posay,Hydraphase Intense Light,Moisturizer,Combination,Dryness,"Hyaluronic Acid, Glycerin",Provides long-lasting hydration and smooth texture. Lightweight and refreshing formula.,Medium,https://www.laroche-posay.com
86,Bioderma,Atoderm Shower Oil,Cleanser,Dry,Sensitivity,"Vitamin PP, Glycerin",Cleanses gently while adding lipids to nourish dry skin. Ideal for daily use on face and body.,Medium,https://www.bioderma.com
87,The Inkey List,Ceramide Night Treatment,Moisturizer,All,Wrinkles,"Ceramides, Shea Butter",Restores moisture barrier overnight and firms skin. Ideal for dry or mature types.,Affordable,https://www.theinkeylist.com
88,Paula’s Choice,Super Hydrate Overnight Mask,Mask,Dry,Dullness,"Reishi Mushroom, Glycerin","Replenishes dehydrated skin while sleeping. Leaves a plump, glowing finish.",Medium,https://www.paulaschoice.com
89,Neutrogena,Hydro Boost Exfoliating Cleanser,Cleanser,All,Texture,"Hyaluronic Acid, Micro Beads",Cleanses deeply and smooths skin texture. Great for refreshing tired skin.,Affordable,https://www.neutrogena.com
90,CeraVe,Hydrating Mineral Sunscreen SPF 50,Sun Care,Sensitive,Dark Spots,"Titanium Dioxide, Zinc Oxide",Mineral-based sunscreen that protects without irritation. Suitable for sensitive or acne-prone skin.,Affordable,https://www.cerave.com
91,The Ordinary,Squalane Cleanser,Cleanser,All,Dryness,"Squalane, Ester Oils",A gentle cleanser that removes makeup and impurities. Hydrates and softens skin barrier.,Affordable,https://www.theordinary.com
92,La Roche-Posay,Pigmentclar Serum,Serum,All,Dark Spots,"Ferulic Acid, LHA",Visibly reduces dark spots and evens skin tone. Ideal for daily brightening routines.,Medium,https://www.laroche-posay.com
93,The Inkey List,Succinic Acid Blemish Treatment,Treatment,Oily,Acne,"Succinic Acid, Salicylic Acid",Reduces inflammation and clears blemishes fast. Suitable for spot treatments on oily skin.,Affordable,https://www.theinkeylist.com
94,Paula’s Choice,Daily Hydrating Fluid SPF 50,Sun Care,All,Wrinkles,"Antioxidants, SPF 50",Lightweight daily sunscreen that prevents premature aging. Protects and hydrates all skin types.,Medium,https://www.paulaschoice.com
95,Bioderma,Photoderm Spot-Age SPF 50+,Sun Care,All,Dark Spots,"Vitamin C, Niacinamide",High-protection sunscreen that targets dark spots and prevents pigmentation.,Medium,https://www.bioderma.com
96,Neutrogena,Hydro Boost Hydrating Serum,Serum,Dry,Dullness,"Hyaluronic Acid, Trehalose","Instantly boosts skin hydration and locks in moisture. Leaves a radiant, smooth finish.",Affordable,
